paper_fig,benchmark_group,profile,source_csv,source_archive_or_run_id,source_row_id,config_file,config_hash,git_commit_if_available,host,os,cpu,seed,dataset,workload,scheme,variant,N,ops,query_ratio,update_ratio,budget,selectivity,timeout_s,metric_name,metric_value,metric_unit,metric_source,evaluator,auc_mode,is_paper_metric,notes
fig6_mechanism,fig_mechanism,paper_full,artifact_results_sp/raw/paper_full/fig6_mechanism/fig_mechanism_cell_load_touch_skew.csv,eval_full_sp,row13,artifact_results_sp/configs/eval_full_sp.yaml,3df982f4955839fae82b15c7031cdc835ded16a77ca23570645762f092391751,,paper-full-sp,recorded by runner host,recorded by runner host,0,geolife_lat,real_temporal,PGM-Learned-Naive,,,,,,,,,real_cell_load,1026,count,mechanism CSV,mechanism,not_auc,true,
fig6_mechanism,fig_mechanism,paper_full,artifact_results_sp/raw/paper_full/fig6_mechanism/fig_mechanism_cell_load_touch_skew.csv,eval_full_sp,row14,artifact_results_sp/configs/eval_full_sp.yaml,3df982f4955839fae82b15c7031cdc835ded16a77ca23570645762f092391751,,paper-full-sp,recorded by runner host,recorded by runner host,0,geolife_lat,real_temporal,PGM-Learned-Naive,,,,,,,,,real_cell_load,1026,count,mechanism CSV,mechanism,not_auc,true,
fig6_mechanism,fig_mechanism,paper_full,artifact_results_sp/raw/paper_full/fig6_mechanism/fig_mechanism_cell_load_touch_skew.csv,eval_full_sp,row15,artifact_results_sp/configs/eval_full_sp.yaml,3df982f4955839fae82b15c7031cdc835ded16a77ca23570645762f092391751,,paper-full-sp,recorded by runner host,recorded by runner host,0,geolife_lat,real_temporal,PGM-Learned-Naive,,,,,,,,,real_cell_load,1026,count,mechanism CSV,mechanism,not_auc,true,
fig6_mechanism,fig_mechanism,paper_full,artifact_results_sp/raw/paper_full/fig6_mechanism/fig_mechanism_cell_load_touch_skew.csv,eval_full_sp,row16,artifact_results_sp/configs/eval_full_sp.yaml,3df982f4955839fae82b15c7031cdc835ded16a77ca23570645762f092391751,,paper-full-sp,recorded by runner host,recorded by runner host,0,geolife_lat,real_temporal,PGM-Learned-Naive,,,,,,,,,real_cell_load,1026,count,mechanism CSV,mechanism,not_auc,true,
fig6_mechanism,fig_mechanism,paper_full,artifact_results_sp/raw/paper_full/fig6_mechanism/fig_mechanism_cell_load_touch_skew.csv,eval_full_sp,row17,artifact_results_sp/configs/eval_full_sp.yaml,3df982f4955839fae82b15c7031cdc835ded16a77ca23570645762f092391751,,paper-full-sp,recorded by runner host,recorded by runner host,0,geolife_lat,real_temporal,PGM-Learned-Naive,,,,,,,,,real_cell_load,1026,count,mechanism CSV,mechanism,not_auc,true,
fig6_mechanism,fig_mechanism,paper_full,artifact_results_sp/raw/paper_full/fig6_mechanism/fig_mechanism_cell_load_touch_skew.csv,eval_full_sp,row18,artifact_results_sp/configs/eval_full_sp.yaml,3df982f4955839fae82b15c7031cdc835ded16a77ca23570645762f092391751,,paper-full-sp,recorded by runner host,recorded by runner host,0,geolife_lat,real_temporal,PGM-Learned-Naive,,,,,,,,,real_cell_load,1026,count,mechanism CSV,mechanism,not_auc,true,
fig6_mechanism,fig_mechanism,paper_full,artifact_results_sp/raw/paper_full/fig6_mechanism/fig_mechanism_cell_load_touch_skew.csv,eval_full_sp,row19,artifact_results_sp/configs/eval_full_sp.yaml,3df982f4955839fae82b15c7031cdc835ded16a77ca23570645762f092391751,,paper-full-sp,recorded by runner host,recorded by runner host,0,geolife_lat,real_temporal,PGM-Learned-Naive,,,,,,,,,real_cell_load,1026,count,mechanism CSV,mechanism,not_auc,true,
fig6_mechanism,fig_mechanism,paper_full,artifact_results_sp/raw/paper_full/fig6_mechanism/fig_mechanism_cell_load_touch_skew.csv,eval_full_sp,row20,artifact_results_sp/configs/eval_full_sp.yaml,3df982f4955839fae82b15c7031cdc835ded16a77ca23570645762f092391751,,paper-full-sp,recorded by runner host,recorded by runner host,0,geolife_lat,real_temporal,PGM-Learned-Naive,,,,,,,,,real_cell_load,1026,count,mechanism CSV,mechanism,not_auc,true,
fig6_mechanism,fig_mechanism,paper_full,artifact_results_sp/raw/paper_full/fig6_mechanism/fig_mechanism_cell_load_touch_skew.csv,eval_full_sp,row21,artifact_results_sp/configs/eval_full_sp.yaml,3df982f4955839fae82b15c7031cdc835ded16a77ca23570645762f092391751,,paper-full-sp,recorded by runner host,recorded by runner host,0,geolife_lat,real_temporal,PGM-Learned-Naive,,,,,,,,,real_cell_load,1026,count,mechanism CSV,mechanism,not_auc,true,
fig6_mechanism,fig_mechanism,paper_full,artifact_results_sp/raw/paper_full/fig6_mechanism/fig_mechanism_cell_load_touch_skew.csv,eval_full_sp,row22,artifact_results_sp/configs/eval_full_sp.yaml,3df982f4955839fae82b15c7031cdc835ded16a77ca23570645762f092391751,,paper-full-sp,recorded by runner host,recorded by runner host,0,geolife_lat,real_temporal,PGM-Learned-Naive,,,,,,,,,real_cell_load,1026,count,mechanism CSV,mechanism,not_auc,true,
