case,scheme,N,ops,U,B,theta,pad_pool,fanout_class,refresh_period,split_load_percent,merge_load_percent,dist,workload,variant,crypto,seed,query_ratio,selectivity,build_ms,avg_query_ms,avg_update_ms,update_total_latency_ms,patch_update_latency_ms,maintenance_latency_ms,refresh_latency_ms,refresh_count,scheduled_refresh_count,forced_log_refresh_count,public_rollover_count,split_count,merge_count,guide_retrain_count,locator_rebuild_count,logical_cells,active,server_bytes,lbc_boundary_count,lbc_prototype_count,lbc_repair_entries,lbc_avg_repair,lbc_desc_bytes,lbc_proto_bytes,lbc_full_bytes,lbc_log_bytes,lbc_raw_bitmap_bytes,lbc_compression_ratio,searches,updates,refreshes,splits,merges,touched_cells,fetched_objects,response_bytes,patch_bytes,refresh_bytes,guide_locates,guide_corrections,token_padding_refs,max_token_refs,max_fanout_class,log_refs,raw_log_length_exposures,max_visible_log_refs_per_cell,ordered_token_exposures,cert_capacity_class,cert_fanout_class,cert_log_class,cert_maintenance_class,cert_split_load_class,cert_merge_load_class,cert_desc_object_class,cert_proto_object_class,cert_patch_object_class,cert_full_object_class,refresh_class_events,split_class_events,merge_class_events,public_refresh_ticks,scheduled_refreshes,forced_log_refreshes,forced_capacity_splits,public_split_events,public_merge_events,cert_candidate_cells,cert_certified_cells,cert_capacity_overflow_splits,eval_cells,eval_top_k,eval_region_precision_at_k,eval_hotspot_precision_at_k,eval_log_profile_precision_at_k,eval_region_auc,eval_hotspot_auc,eval_log_growth_auc,eval_maintenance_auc,eval_log_length_correlation,eval_maintenance_correlation,eval_ambiguity_size,eval_normalized_ambiguity,eval_log_ambiguity_size,eval_normalized_log_ambiguity,dataset,attribute
LOCI-Full,loci,50000,500,1048576,256,256,1024,16,64,90,25,skew,hotspot,full,mock,0,0.8,-1,239.002,14.7793,4.52947,4.52947,0.00733273,4.51043,11.145,25,1,0,1,16,0,16,41,306,49990,19567744,39889,2448,84600,2.12089,10027008,313344,19584,5013504,1595560,0.103787,390,110,25,16,0,10251,3782656,242234496,7040,2863680,880,41784,1146631,16384,16384,2624256,0,256,0,256,16,256,64,231,64,128,128,64,64,25,16,0,1,1,0,15,1,0,0,0,0,306,62,0.16129,1,0.370968,0.436938,0.970849,0.592742,0.603252,0.152241,0.254184,13.6405,0.0445769,203.614,0.665406,synthetic,value
LOCI-NoPad,loci,50000,500,1048576,256,256,1024,16,64,90,25,skew,hotspot,nopad,mock,0,0.8,-1,238.431,0.508564,4.48975,4.48975,0.00602273,4.47577,10.6386,25,1,0,1,16,0,16,41,306,49990,3995712,39889,2448,84600,2.12089,2218464,117504,14688,1645056,1595560,0.399318,390,110,25,16,0,10251,13912,591387,2310,736592,880,41784,0,60,60,2143,10251,3,0,256,0,256,64,231,64,24,48,21,48,25,16,0,1,1,0,15,1,0,0,0,0,306,62,0.145161,1,0.790323,0.411687,0.970849,0.874108,0.603252,0.848624,0.254184,12.8497,0.0419924,202.882,0.663014,synthetic,value
LOCI-NoPublicRefresh,loci,50000,500,1048576,256,256,1024,16,64,90,25,skew,hotspot,nopublicrefresh,mock,0,0.8,-1,242.361,14.234,4.31268,4.31268,0.00762364,4.2943,11.1198,24,0,0,0,15,0,15,39,305,49990,19517504,39889,2440,84694,2.12324,9994240,312320,19520,4997120,1595560,0.104127,390,110,24,15,0,10251,3782656,242234496,7040,2712960,880,41455,1146631,16384,16384,2624256,0,256,0,256,16,256,0,231,64,128,128,64,64,24,15,0,0,0,0,15,0,0,0,0,0,305,61,0.163934,1,0.360656,0.443194,0.969699,0.590164,0.607431,0.14967,0.267955,13.4066,0.0439559,203.859,0.66839,synthetic,value
PGM-Learned-GlobalPad,pgm,50000,500,1048576,256,256,1024,16,64,90,25,skew,hotspot,globalpad,mock,0,0.8,-1,45.273,51.2396,0.0183055,0.0183055,0.0124236,0.00437,0.4807,1,1,0,1,0,0,0,0,196,49990,9011200,0,0,0,0,0,0,0,0,0,0,390,110,1,0,0,6623,19645080,1311116864,7040,24576,890,100,17942969,50372,50372,1695488,0,256,0,512,50372,256,64,0,0,0,0,64,8192,1,0,0,1,1,0,0,0,0,196,196,0,196,40,0.275,1,0.4,0.615785,0.942308,0.558654,0.496795,0.175953,-0.0492984,9.19388,0.0469075,141.112,0.71996,synthetic,value
