case,scheme,N,ops,U,B,theta,pad_pool,fanout_class,refresh_period,split_load_percent,merge_load_percent,dist,workload,variant,crypto,seed,query_ratio,selectivity,build_ms,avg_query_ms,avg_update_ms,logical_cells,active,server_bytes,lbc_boundary_count,lbc_prototype_count,lbc_repair_entries,lbc_avg_repair,lbc_desc_bytes,lbc_proto_bytes,lbc_full_bytes,lbc_log_bytes,lbc_raw_bitmap_bytes,lbc_compression_ratio,searches,updates,refreshes,splits,merges,touched_cells,fetched_objects,response_bytes,patch_bytes,refresh_bytes,guide_locates,guide_corrections,token_padding_refs,max_token_refs,max_fanout_class,log_refs,raw_log_length_exposures,max_visible_log_refs_per_cell,ordered_token_exposures,cert_capacity_class,cert_fanout_class,cert_log_class,cert_maintenance_class,cert_split_load_class,cert_merge_load_class,cert_desc_object_class,cert_proto_object_class,cert_patch_object_class,cert_full_object_class,refresh_class_events,split_class_events,merge_class_events,public_refresh_ticks,scheduled_refreshes,forced_log_refreshes,forced_capacity_splits,public_split_events,public_merge_events,cert_candidate_cells,cert_certified_cells,cert_capacity_overflow_splits,eval_cells,eval_top_k,eval_region_precision_at_k,eval_hotspot_precision_at_k,eval_log_profile_precision_at_k,eval_region_auc,eval_hotspot_auc,eval_log_growth_auc,eval_maintenance_auc,eval_log_length_correlation,eval_maintenance_correlation,eval_ambiguity_size,eval_normalized_ambiguity,eval_log_ambiguity_size,eval_normalized_log_ambiguity
PGM-Learned-GlobalPad,pgm,200000,1000,1048576,1024,128,1024,16,64,90,25,skew,skew,globalpad,mock,2,0.8,-1,79.974,47.2272,0.0347104,196,200011,6914048,0,0,0,0,0,0,0,0,0,0,805,195,3,0,0,30090,20353620,1793700480,12480,73728,1805,33,16472010,25284,25284,3851520,0,128,0,1152,25284,128,64,0,0,0,0,64,16384,3,0,0,3,3,0,0,0,0,196,196,0,196,40,0.2,1,0.25,0.592949,0.983974,0.5,0.50609,0,-0.0193769,2.10204,0.0107247,196,1
FixedCell-Bitmap,fixedcell,200000,1000,1048576,1024,128,1024,16,64,90,25,skew,skew,bitmap,mock,0,0.8,-1,67.3337,20.279,0.206228,196,199986,1607014,0,0,0,0,0,0,0,0,0,0,778,222,0,0,0,3834,21991,269341729,4662,0,0,0,0,111,111,18157,3834,22,778,0,0,128,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,196,196,0,196,40,0.325,1,0.925,0.562019,0.957692,0.938221,0.5,0.998313,0,1.14286,0.0058309,85.3367,0.435392
FixedCell-Bitmap,fixedcell,200000,1000,1048576,1024,128,1024,16,64,90,25,skew,skew,bitmap,mock,1,0.8,-1,67.6185,20.4716,0.257071,196,200010,1606720,0,0,0,0,0,0,0,0,0,0,792,208,0,0,0,3892,23380,276162312,4368,0,0,0,0,114,114,19488,3892,31,792,0,0,128,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,196,196,0,196,40,0.3,1,0.925,0.577804,0.948077,0.923718,0.5,0.998228,0,1.13265,0.00577884,94.6531,0.482924
FixedCell-Bitmap,fixedcell,200000,1000,1048576,1024,128,1024,16,64,90,25,skew,skew,bitmap,mock,2,0.8,-1,67.1107,20.7469,0.244846,196,200011,1606447,0,0,0,0,0,0,0,0,0,0,805,195,0,0,0,3940,21057,283770345,4095,0,0,0,0,107,107,17117,3940,25,805,0,0,128,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,196,196,0,196,40,0.25,1,0.975,0.547997,0.942788,0.942869,0.5,0.998902,0,1.05102,0.00536235,95.0612,0.485006
FBDSSE-RQ-TreeCover,fbdsse,10000,500,1048576,1024,128,1024,16,64,90,25,skew,skew,treecover,mock,0,0.8,-1,120.233,52.6983,0.0803391,59514,9990,1602834,0,0,0,0,0,0,0,0,0,0,390,110,0,0,0,5534,9459,521752953,48510,0,0,0,0,69,69,0,0,0,0,1048576,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5197,1040,0.415385,1,1,0.718714,0.966224,0.5,0.966224,0,1,290.366,0.0558719,5197,1
FBDSSE-RQ-TreeCover,fbdsse,10000,500,1048576,1024,128,1024,16,64,90,25,skew,skew,treecover,mock,1,0.8,-1,118.375,53.6714,0.0784694,58969,10001,1588221,0,0,0,0,0,0,0,0,0,0,407,93,0,0,0,5760,9356,554679052,41013,0,0,0,0,57,57,0,0,0,0,1048576,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5225,1045,0.413397,1,1,0.72139,0.986265,0.5,0.986265,0,1,233.097,0.0446119,5225,1
FBDSSE-RQ-TreeCover,fbdsse,10000,500,1048576,1024,128,1024,16,64,90,25,skew,skew,treecover,mock,2,0.8,-1,118.597,51.7537,0.0793631,59179,10004,1595970,0,0,0,0,0,0,0,0,0,0,394,106,0,0,0,5549,9424,516028695,46746,0,0,0,0,56,56,0,0,0,0,1048576,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5059,1012,0.418972,1,1,0.738714,0.96776,0.5,0.96776,0,1,284.65,0.056266,5059,1
FBDSSE-RQ-TreeCover,fbdsse,25000,500,1048576,1024,128,1024,16,64,90,25,skew,skew,treecover,mock,0,0.8,-1,318.486,91.0484,0.0956442,117816,24990,3562626,0,0,0,0,0,0,0,0,0,0,390,110,0,0,0,5534,9632,823101990,48510,0,0,0,0,65,65,0,0,0,0,1048576,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5196,1040,0.404808,1,1,0.713395,0.968664,0.5,0.968664,0,1,281.369,0.054151,5196,1
FBDSSE-RQ-TreeCover,fbdsse,25000,500,1048576,1024,128,1024,16,64,90,25,skew,skew,treecover,mock,1,0.8,-1,317.752,92.2373,0.0944194,117188,25001,3546825,0,0,0,0,0,0,0,0,0,0,407,93,0,0,0,5760,9591,870482995,41013,0,0,0,0,61,61,0,0,0,0,1048576,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5184,1037,0.396336,1,1,0.708819,0.99024,0.5,0.99024,0,1,223.559,0.0431249,5184,1
FBDSSE-RQ-TreeCover,fbdsse,25000,500,1048576,1024,128,1024,16,64,90,25,skew,skew,treecover,mock,2,0.8,-1,316.124,88.984,0.0933447,117549,25004,3557046,0,0,0,0,0,0,0,0,0,0,394,106,0,0,0,5549,9427,806084878,46746,0,0,0,0,54,54,0,0,0,0,1048576,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5080,1016,0.417323,1,1,0.726646,0.967234,0.5,0.967234,0,1,290.537,0.0571922,5080,1
PGM-Learned-Naive,pgm,100000,1000,1048576,1024,128,1024,16,64,90,25,skew,skew,naive,mock,0,0.8,0.001,27.8271,0.768884,0.0216115,98,99986,805838,0,0,0,0,0,0,0,0,0,0,778,222,0,0,0,1603,3348,13167945,4662,0,1778,35,0,13,13,1745,1603,5,778,0,0,128,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,98,98,0,98,20,0.3,1,0.9,0.647436,0.991346,0.966987,0.5,0.959775,0,1.06122,0.0108288,18.4286,0.188047
PGM-Learned-Naive,pgm,100000,1000,1048576,1024,128,1024,16,64,90,25,skew,skew,naive,mock,1,0.8,0.001,27.5523,0.771008,0.0243838,98,100010,805544,0,0,0,0,0,0,0,0,0,0,792,208,0,0,0,1643,3329,13503314,4368,0,1792,46,0,17,17,1686,1643,6,792,0,0,128,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,98,98,0,98,20,0.3,1,0.85,0.614744,0.975962,0.954487,0.5,0.926517,0,1.02041,0.0104123,21.4286,0.218659
PGM-Learned-Naive,pgm,100000,1000,1048576,1024,128,1024,16,64,90,25,skew,skew,naive,mock,2,0.8,0.001,27.5614,0.771998,0.0240834,98,100012,805250,0,0,0,0,0,0,0,0,0,0,805,194,0,0,0,1675,3409,13761218,4074,0,1804,45,0,15,15,1734,1675,6,805,0,0,128,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,98,98,0,98,20,0.3,1,1,0.628205,0.984615,0.984295,0.5,0.980197,0,1.06122,0.0108288,21.6939,0.221366
LOCI-Full,loci,100000,1000,1048576,1024,128,1024,16,64,90,25,skew,skew,full,mock,0,0.8,0.001,490.938,0.845617,9.47613,172,99986,25410688,68091,1376,578552,8.49675,22556800,352256,44032,1409024,9260376,0.380114,778,222,35,25,0,2156,488960,31985728,14208,12041472,1764,61839,208061,1024,1024,275968,0,128,0,1024,16,128,64,922,256,128,256,64,256,35,25,0,3,3,0,24,1,0,0,0,0,172,35,0.342857,1,0.4,0.658081,0.986966,0.547758,0.48926,0.197394,0.0165919,2.27907,0.0132504,139.767,0.812601
LOCI-Full,loci,100000,1000,1048576,1024,128,1024,16,64,90,25,skew,skew,full,mock,1,0.8,0.001,482.757,0.824411,8.32062,162,100010,23996416,68048,1296,583962,8.58162,21247488,331776,41472,1327104,9254528,0.403285,792,208,29,21,0,2136,490240,32067968,13312,10056192,1802,50200,211872,1024,1024,273408,0,128,0,1024,16,128,64,922,256,128,256,64,256,29,21,0,3,3,0,20,1,0,0,0,0,162,33,0.393939,1,0.333333,0.634602,0.987785,0.546512,0.493775,0.226524,-0.053476,1.7284,0.0106691,139.778,0.862826
LOCI-Full,loci,100000,1000,1048576,1024,128,1024,16,64,90,25,skew,skew,full,mock,2,0.8,0.001,480.858,0.813309,9.1882,160,100012,23711872,67805,1280,579794,8.5509,20983936,327680,40960,1310720,9221480,0.406891,805,194,31,20,0,2115,488448,31953856,12416,10058368,1816,46705,212737,1024,1024,270720,0,128,0,1024,16,128,64,922,256,128,256,64,256,31,20,0,3,3,0,18,2,0,0,0,0,160,32,0.25,1,0.3125,0.665161,0.975586,0.527344,0.499268,0.1851,0.132356,1.7,0.010625,146.613,0.916328
PGM-Learned-GlobalPad,pgm,100000,1000,1048576,1024,128,1024,16,64,90,25,skew,skew,globalpad,mock,0,0.8,0.001,34.2691,9.44449,0.0276631,98,99986,3457024,0,0,0,0,0,0,0,0,0,0,778,222,3,0,0,1603,9835476,655631424,14208,73728,1778,35,9628689,12642,12642,205184,0,128,0,1152,12642,128,64,0,0,0,0,64,16384,3,0,0,3,3,0,0,0,0,98,98,0,98,20,0.3,1,0.2,0.586218,0.991346,0.5,0.480769,0,-0.156335,1.46939,0.0149938,98,1
PGM-Learned-GlobalPad,pgm,100000,1000,1048576,1024,128,1024,16,64,90,25,skew,skew,globalpad,mock,1,0.8,0.001,34.177,9.45589,0.030533,98,100010,3457024,0,0,0,0,0,0,0,0,0,0,792,208,3,0,0,1643,10012464,667611456,13312,73728,1792,46,9800517,12642,12642,210304,0,128,0,1152,12642,128,64,0,0,0,0,64,16384,3,0,0,3,3,0,0,0,0,98,98,0,98,20,0.2,1,0.25,0.489103,0.975962,0.5,0.480769,0,-0.0366614,1.69388,0.0172845,98,1
PGM-Learned-GlobalPad,pgm,100000,1000,1048576,1024,128,1024,16,64,90,25,skew,skew,globalpad,mock,2,0.8,0.001,33.9363,9.51683,0.0308177,98,100012,3457024,0,0,0,0,0,0,0,0,0,0,805,194,3,0,0,1675,10176810,678651840,12416,73728,1804,45,9960735,12642,12642,214400,0,128,0,1152,12642,128,64,0,0,0,0,64,16384,3,0,0,3,3,0,0,0,0,98,98,0,98,20,0.15,1,0.15,0.500321,0.984615,0.5,0.512179,0,0.0313608,1.87755,0.0191587,98,1
FixedCell-Bitmap,fixedcell,100000,1000,1048576,1024,128,1024,16,64,90,25,skew,skew,bitmap,mock,0,0.8,0.001,27.903,3.63461,0.197975,98,99986,805838,0,0,0,0,0,0,0,0,0,0,778,222,0,0,0,853,10150,69536121,4662,0,0,0,0,85,85,9297,853,44,778,0,0,128,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,98,98,0,98,20,0.3,1,0.7,0.561859,0.991987,0.841346,0.5,0.994861,0,1.02041,0.0104123,36.2245,0.369638
