case,scheme,N,ops,U,B,theta,pad_pool,fanout_class,refresh_period,split_load_percent,merge_load_percent,dist,workload,variant,crypto,seed,query_ratio,selectivity,build_ms,avg_query_ms,avg_update_ms,logical_cells,active,server_bytes,lbc_boundary_count,lbc_prototype_count,lbc_repair_entries,lbc_avg_repair,lbc_desc_bytes,lbc_proto_bytes,lbc_full_bytes,lbc_log_bytes,lbc_raw_bitmap_bytes,lbc_compression_ratio,searches,updates,refreshes,splits,merges,touched_cells,fetched_objects,response_bytes,patch_bytes,refresh_bytes,guide_locates,guide_corrections,token_padding_refs,max_token_refs,max_fanout_class,log_refs,raw_log_length_exposures,max_visible_log_refs_per_cell,ordered_token_exposures,cert_capacity_class,cert_fanout_class,cert_log_class,cert_maintenance_class,cert_split_load_class,cert_merge_load_class,cert_desc_object_class,cert_proto_object_class,cert_patch_object_class,cert_full_object_class,refresh_class_events,split_class_events,merge_class_events,public_refresh_ticks,scheduled_refreshes,forced_log_refreshes,forced_capacity_splits,public_split_events,public_merge_events,cert_candidate_cells,cert_certified_cells,cert_capacity_overflow_splits,eval_cells,eval_top_k,eval_region_precision_at_k,eval_hotspot_precision_at_k,eval_log_profile_precision_at_k,eval_region_auc,eval_hotspot_auc,eval_log_growth_auc,eval_maintenance_auc,eval_log_length_correlation,eval_maintenance_correlation,eval_ambiguity_size,eval_normalized_ambiguity,eval_log_ambiguity_size,eval_normalized_log_ambiguity
PGM-Learned-GlobalPad,pgm,100000,1000,1048576,32,32,1024,16,64,90,25,skew,hotspot,globalpad,mock,1,0.8,-1,90.115,139.559,0.0230992,3125,100010,17988608,0,0,0,0,0,0,0,0,0,0,792,208,3,0,0,210382,81675000,5429166720,13312,9216,1792,1206,74732394,103125,103125,6732224,0,32,0,64,103125,32,64,0,0,0,0,64,1024,3,0,0,3,3,0,0,0,0,3125,3125,0,3125,625,0.0784,1,0.3408,0.288283,0.6608,0.3898,0.5024,0.0572141,0.0120627,312.133,0.0998827,1916.29,0.613212
PGM-Learned-GlobalPad,pgm,100000,1000,1048576,32,32,1024,16,64,90,25,skew,hotspot,globalpad,mock,2,0.8,-1,89.9643,139.8,0.0229081,3125,100012,17988608,0,0,0,0,0,0,0,0,0,0,805,194,3,0,0,214188,83015625,5518620480,12416,9216,1804,1390,75947421,103125,103125,6854016,0,32,0,64,103125,32,64,0,0,0,0,64,1024,3,0,0,3,3,0,0,0,0,3125,3125,0,3125,625,0.0688,1,0.4112,0.260103,0.6472,0.4042,0.5024,0.0324221,0.0329136,291.947,0.0934229,1923.94,0.615661
LOCI-Full,loci,100000,1000,1048576,64,64,1024,16,64,90,25,skew,hotspot,full,mock,0,0.8,-1,342.328,31.3326,13.345,2353,99986,39862336,68363,18824,33598,0.491465,19275776,2409472,150592,9637888,1093808,0.034753,778,222,52,47,0,152578,10808832,692057216,14208,1952896,1764,630327,888223,16384,16384,9764992,0,64,0,64,16,64,64,58,16,128,128,64,64,52,47,0,3,3,0,46,1,0,0,0,0,2353,471,0.295117,1,0.339703,0.637865,0.719745,0.400306,0.52328,0.0543209,0.204746,148.93,0.0632938,1555.21,0.660949
LOCI-Full,loci,100000,1000,1048576,64,64,1024,16,64,90,25,skew,hotspot,full,mock,1,0.8,-1,346.829,31.8344,16.1653,2367,100010,40049600,68301,18936,33730,0.493843,19390464,2423808,151488,9695232,1092816,0.0345162,792,208,54,51,0,159904,11125248,712308224,13312,2086656,1802,661776,728441,16384,16384,10233856,0,64,0,64,16,64,64,58,16,128,128,64,64,54,51,0,3,3,0,50,1,0,0,0,0,2367,474,0.291139,1,0.352321,0.62807,0.704641,0.429502,0.529228,0.0603405,0.249933,180.197,0.076129,1474.15,0.622792
LOCI-Full,loci,100000,1000,1048576,64,64,1024,16,64,90,25,skew,hotspot,full,mock,2,0.8,-1,346.06,31.8533,16.7793,2347,100012,39782080,68050,18776,33750,0.495959,19226624,2403328,150208,9613312,1088800,0.0346824,805,194,51,48,0,159456,11342336,726205952,12416,1966272,1816,616775,974605,16384,16384,10205184,0,64,0,64,16,64,64,58,16,128,128,64,64,51,48,0,3,3,0,47,1,0,0,0,0,2347,470,0.297872,1,0.423404,0.62892,0.693617,0.444067,0.530568,0.0424572,0.302392,171.325,0.0729973,1459.67,0.62193
LOCI-NoProto,loci,100000,1000,1048576,64,64,1024,16,64,90,25,skew,hotspot,noproto,mock,0,0.8,-1,368.521,32.2077,13.1403,2353,99986,46203328,68363,68363,0,0,19275776,8750464,150592,9637888,1093808,0.0289255,778,222,52,47,0,152578,10808832,692057216,14208,2222976,1764,630327,888223,16384,16384,9764992,0,64,0,64,16,64,64,58,16,128,128,64,64,52,47,0,3,3,0,46,1,0,0,0,0,2353,471,0.295117,1,0.339703,0.637865,0.719745,0.400306,0.52328,0.0543209,0.204746,148.93,0.0632938,1555.21,0.660949
LOCI-NoProto,loci,100000,1000,1048576,64,64,1024,16,64,90,25,skew,hotspot,noproto,mock,1,0.8,-1,373.232,32.8101,15.7871,2367,100010,46368320,68301,68301,0,0,19390464,8742528,151488,9695232,1092816,0.0287737,792,208,54,51,0,159904,11125248,712308224,13312,2379648,1802,661776,728441,16384,16384,10233856,0,64,0,64,16,64,64,58,16,128,128,64,64,54,51,0,3,3,0,50,1,0,0,0,0,2367,474,0.291139,1,0.352321,0.62807,0.704641,0.429502,0.529228,0.0603405,0.249933,180.197,0.076129,1474.15,0.622792
LOCI-NoProto,loci,100000,1000,1048576,64,64,1024,16,64,90,25,skew,hotspot,noproto,mock,2,0.8,-1,367.414,32.4491,15.867,2347,100012,46089152,68050,68050,0,0,19226624,8710400,150208,9613312,1088800,0.0288802,805,194,51,48,0,159456,11342336,726205952,12416,2275904,1816,616775,974605,16384,16384,10205184,0,64,0,64,16,64,64,58,16,128,128,64,64,51,48,0,3,3,0,47,1,0,0,0,0,2347,470,0.297872,1,0.423404,0.62892,0.693617,0.444067,0.530568,0.0424572,0.302392,171.325,0.0729973,1459.67,0.62193
LOCI-NoPad,loci,100000,1000,1048576,64,64,1024,16,64,90,25,skew,hotspot,nopad,mock,0,0.8,-1,305.192,1.43106,13.1226,2353,99986,7419280,68363,18824,33598,0.491465,3748600,451776,56472,3162432,1093808,0.147428,778,222,52,47,0,152578,165470,3945577,4662,458432,1764,630327,0,285,285,9853,152578,2,0,64,0,64,64,58,16,24,24,21,24,52,47,0,3,3,0,46,1,0,0,0,0,2353,471,0.284501,1,0.932059,0.628731,0.719745,0.663223,0.52328,0.87554,0.204746,147.7,0.0627707,2061.96,0.876312
LOCI-NoPad,loci,100000,1000,1048576,64,64,1024,16,64,90,25,skew,hotspot,nopad,mock,1,0.8,-1,302.623,1.46455,15.7479,2367,100010,7463152,68301,18936,33730,0.493843,3770632,454464,56808,3181248,1092816,0.146428,792,208,54,51,0,159904,173518,4136731,4368,490312,1802,661776,0,286,286,10567,159904,2,0,64,0,64,64,58,16,24,24,21,24,54,51,0,3,3,0,50,1,0,0,0,0,2367,474,0.272152,1,0.92827,0.613226,0.704641,0.650585,0.529228,0.841737,0.249933,179.156,0.0756892,2095.49,0.885295
