case,scheme,N,ops,U,B,theta,pad_pool,fanout_class,refresh_period,split_load_percent,merge_load_percent,dist,workload,variant,crypto,seed,query_ratio,selectivity,build_ms,avg_query_ms,avg_update_ms,update_total_latency_ms,patch_update_latency_ms,maintenance_latency_ms,refresh_latency_ms,refresh_count,scheduled_refresh_count,forced_log_refresh_count,public_rollover_count,split_count,merge_count,guide_retrain_count,locator_rebuild_count,logical_cells,active,server_bytes,lbc_boundary_count,lbc_prototype_count,lbc_repair_entries,lbc_avg_repair,lbc_desc_bytes,lbc_proto_bytes,lbc_full_bytes,lbc_log_bytes,lbc_raw_bitmap_bytes,lbc_compression_ratio,searches,updates,refreshes,splits,merges,touched_cells,fetched_objects,response_bytes,patch_bytes,refresh_bytes,guide_locates,guide_corrections,token_padding_refs,max_token_refs,max_fanout_class,log_refs,raw_log_length_exposures,max_visible_log_refs_per_cell,ordered_token_exposures,cert_capacity_class,cert_fanout_class,cert_log_class,cert_maintenance_class,cert_split_load_class,cert_merge_load_class,cert_desc_object_class,cert_proto_object_class,cert_patch_object_class,cert_full_object_class,refresh_class_events,split_class_events,merge_class_events,public_refresh_ticks,scheduled_refreshes,forced_log_refreshes,forced_capacity_splits,public_split_events,public_merge_events,cert_candidate_cells,cert_certified_cells,cert_capacity_overflow_splits,eval_cells,eval_top_k,eval_region_precision_at_k,eval_hotspot_precision_at_k,eval_log_profile_precision_at_k,eval_region_auc,eval_hotspot_auc,eval_log_growth_auc,eval_maintenance_auc,eval_log_length_correlation,eval_maintenance_correlation,eval_ambiguity_size,eval_normalized_ambiguity,eval_log_ambiguity_size,eval_normalized_log_ambiguity,dataset,attribute
PGM-Learned-Naive,pgm,50000,500,1048576,1024,128,1024,16,64,90,25,skew,real_temporal,naive,mock,0,0.8,-1,5.432,0.300588,0.0148236,0.0148236,0.0140604,0,0,0,0,0,0,0,0,0,0,49,49988,402814,0,0,0,0,0,0,0,0,0,0,394,106,0,0,0,790,1654,6486632,2226,0,894,21,0,13,13,864,790,4,394,0,0,128,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,49,49,0,49,10,0.2,1,1,0.621795,0.987179,0.984615,0.5,0.9033,0,1.08163,0.0220741,12.551,0.256143,nyc,time
LOCI-Full,loci,50000,500,1048576,1024,128,1024,16,64,90,25,skew,real_temporal,full,mock,0,0.8,-1,243.961,0.675437,3.66045,3.66045,0.00606321,3.63616,9.4859,18,1,0,1,16,0,16,34,91,49988,13411712,28264,728,237466,8.40171,11932288,186368,23296,745472,3843904,0.298268,394,106,18,16,0,1112,239872,15714816,6784,7080960,882,16085,94888,1024,1024,142336,0,128,0,1024,16,128,64,922,256,128,256,64,256,18,16,0,1,1,0,15,1,0,0,0,0,91,19,0.578947,1,0.368421,0.847588,0.969298,0.5,0.572368,0,0.100603,1.76923,0.0194421,91,1,nyc,time
PGM-Learned-GlobalPad,pgm,50000,500,1048576,1024,128,1024,16,64,90,25,skew,real_temporal,globalpad,mock,0,0.8,-1,9.5494,3.41447,0.0208198,0.0208198,0.0181764,0.00127358,0.135,1,1,0,1,0,0,0,0,49,49988,1728512,0,0,0,0,0,0,0,0,0,0,394,106,1,0,0,790,2490474,172283136,6784,24576,894,21,2388564,6321,6321,101120,0,128,0,1152,6321,128,64,0,0,0,0,64,16384,1,0,0,1,1,0,0,0,0,49,49,0,49,10,0.4,1,0.5,0.701282,0.987179,0.5,0.487179,0,-0.0145803,1.85714,0.0379009,49,1,nyc,time
PGM-Learned-Naive,pgm,50000,500,1048576,1024,128,1024,16,64,90,25,skew,real_temporal,naive,mock,0,0.8,-1,11.077,0.537142,0.0157774,0.0157774,0.0153991,0,0,0,0,0,0,0,0,0,0,49,49988,402814,0,0,0,0,0,0,0,0,0,0,394,106,0,0,0,836,1811,6871979,2226,0,894,27,0,17,17,975,836,6,394,0,0,128,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,49,49,0,49,10,0.6,1,0.8,0.825641,0.979487,0.937179,0.5,0.957631,0,1.04082,0.0212411,10.7143,0.218659,gowalla,location
LOCI-Full,loci,50000,500,1048576,1024,128,1024,16,64,90,25,skew,real_temporal,full,mock,0,0.8,-1,210.786,0.736831,3.6379,3.6379,0.0056,3.61819,11.9537,16,1,0,1,12,0,12,28,86,49988,12700672,22506,688,184656,8.20475,11273728,176128,22016,704512,3060816,0.251373,394,106,16,12,0,1165,254208,16637376,6784,5662848,882,14808,102425,2048,2048,149120,0,128,0,1024,16,128,64,922,256,128,256,64,256,16,12,0,1,1,0,12,0,0,0,0,0,86,18,0.333333,1,0.388889,0.719363,0.980392,0.5,0.473039,0,-0.0113165,1.09302,0.0127096,86,1,gowalla,location
PGM-Learned-GlobalPad,pgm,50000,500,1048576,1024,128,1024,16,64,90,25,skew,real_temporal,globalpad,mock,0,0.8,-1,16.0065,3.41729,0.0190547,0.0190547,0.0167934,0.00131038,0.1389,1,1,0,1,0,0,0,0,49,49988,1728512,0,0,0,0,0,0,0,0,0,0,394,106,1,0,0,836,2490474,173033856,6784,24576,894,27,2382630,6321,6321,107008,0,128,0,1152,6321,128,64,0,0,0,0,64,16384,1,0,0,1,1,0,0,0,0,49,49,0,49,10,0.3,1,0.2,0.729487,0.979487,0.5,0.487179,0,0.0857493,1.61224,0.032903,49,1,gowalla,location
PGM-Learned-Naive,pgm,50000,500,1048576,1024,128,1024,16,64,90,25,skew,real_temporal,naive,mock,0,0.8,-1,10.1517,0.980166,0.0158943,0.0158943,0.0153142,0,0,0,0,0,0,0,0,0,0,49,49988,402814,0,0,0,0,0,0,0,0,0,0,394,106,0,0,0,1434,2872,11783470,2226,0,894,17,0,30,30,1438,1434,5,394,0,0,128,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,49,49,0,49,10,0.2,1,0.9,0.44359,0.974359,0.969231,0.5,0.973535,0,1.04082,0.0212411,9.85714,0.201166,geolife,lat
LOCI-Full,loci,50000,500,1048576,1024,128,1024,16,64,90,25,skew,real_temporal,full,mock,0,0.8,-1,195.91,1.17348,3.62703,3.62703,0.00617075,3.60829,11.9849,19,1,0,1,10,0,10,29,82,49988,12135424,21308,656,178100,8.35836,10750464,167936,20992,671744,2897888,0.249578,394,106,19,10,0,1918,349184,22862720,6784,5523840,882,10910,100258,4096,4096,245504,0,128,0,1024,16,128,64,922,256,128,256,64,256,19,10,0,1,1,0,9,1,0,0,0,0,82,17,0.294118,1,0.176471,0.605882,0.980995,0.507692,0.631674,0.104461,0.216591,1.04878,0.01279,80.0244,0.975907,geolife,lat
PGM-Learned-GlobalPad,pgm,50000,500,1048576,1024,128,1024,16,64,90,25,skew,real_temporal,globalpad,mock,0,0.8,-1,14.5258,4.11048,0.0194094,0.0194094,0.0168915,0.00126981,0.1346,1,1,0,1,0,0,0,0,49,49988,1728512,0,0,0,0,0,0,0,0,0,0,394,106,1,0,0,1434,2490474,182793216,6784,24576,894,17,2305488,6321,6321,183552,0,128,0,1152,6321,128,64,0,0,0,0,64,16384,1,0,0,1,1,0,0,0,0,49,49,0,49,10,0.1,1,0.4,0.458974,0.974359,0.5,0.487179,0,-0.0656223,1.20408,0.0245731,49,1,geolife,lat
