case,scheme,N,ops,U,B,theta,pad_pool,fanout_class,refresh_period,split_load_percent,merge_load_percent,dist,workload,variant,crypto,seed,query_ratio,selectivity,build_ms,avg_query_ms,avg_update_ms,update_total_latency_ms,patch_update_latency_ms,maintenance_latency_ms,refresh_latency_ms,refresh_count,scheduled_refresh_count,forced_log_refresh_count,public_rollover_count,split_count,merge_count,guide_retrain_count,locator_rebuild_count,logical_cells,active,server_bytes,lbc_boundary_count,lbc_prototype_count,lbc_repair_entries,lbc_avg_repair,lbc_desc_bytes,lbc_proto_bytes,lbc_full_bytes,lbc_log_bytes,lbc_raw_bitmap_bytes,lbc_compression_ratio,searches,updates,refreshes,splits,merges,touched_cells,fetched_objects,response_bytes,patch_bytes,refresh_bytes,guide_locates,guide_corrections,token_padding_refs,max_token_refs,max_fanout_class,log_refs,raw_log_length_exposures,max_visible_log_refs_per_cell,ordered_token_exposures,cert_capacity_class,cert_fanout_class,cert_log_class,cert_maintenance_class,cert_split_load_class,cert_merge_load_class,cert_desc_object_class,cert_proto_object_class,cert_patch_object_class,cert_full_object_class,refresh_class_events,split_class_events,merge_class_events,public_refresh_ticks,scheduled_refreshes,forced_log_refreshes,forced_capacity_splits,public_split_events,public_merge_events,cert_candidate_cells,cert_certified_cells,cert_capacity_overflow_splits,eval_cells,eval_top_k,eval_region_precision_at_k,eval_hotspot_precision_at_k,eval_log_profile_precision_at_k,eval_region_auc,eval_hotspot_auc,eval_log_growth_auc,eval_maintenance_auc,eval_log_length_correlation,eval_maintenance_correlation,eval_ambiguity_size,eval_normalized_ambiguity,eval_log_ambiguity_size,eval_normalized_log_ambiguity,dataset,attribute
PGM-Learned-Naive,pgm,50000,500,1048576,1024,128,1024,16,64,90,25,skew,skew_hotspot_drift_mix,naive,mock,0,0.8,-1,12.7455,1.29638,0.0143673,0.0143673,0.0139782,0,0,0,0,0,0,0,0,0,0,49,49996,402898,0,0,0,0,0,0,0,0,0,0,390,110,0,0,0,1661,4208,13677515,2310,0,890,18,0,30,30,2547,1661,11,390,0,0,128,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,49,49,0,49,10,0.5,1,0.9,0.887179,0.994872,0.917949,0.5,0.943083,0,1.32653,0.0270721,10.7143,0.218659,synthetic,value
LOCI-NoPad,loci,50000,500,1048576,1024,128,1024,16,64,90,25,skew,skew_hotspot_drift_mix,nopad,mock,0,0.8,-1,290.799,0.376782,2.81438,2.81438,0.00445,2.80227,15.6259,10,1,0,1,8,0,8,18,79,49996,3645360,39876,632,347280,8.709,3330624,91008,11376,212352,5423136,1.48768,390,110,10,8,0,2351,6210,505882,2310,1198936,886,11680,0,35,35,2410,2351,11,0,1024,0,128,64,922,256,24,144,21,144,10,8,0,1,1,0,7,1,0,0,0,0,79,16,0.0625,1,0.875,0.462302,0.988095,0.905754,0.611607,0.935739,0.121651,2.74684,0.0347701,26.4684,0.335042,synthetic,value
LOCI-NoPublicRefresh,loci,50000,500,1048576,1024,128,1024,16,64,90,25,skew,skew_hotspot_drift_mix,nopublicrefresh,mock,0,0.8,-1,291.257,1.66614,2.63287,2.63287,0.00894818,2.61254,16.4354,9,0,0,0,7,0,7,16,78,49996,11577984,39877,624,348756,8.74579,10235008,159744,19968,638976,5423272,0.49063,390,110,9,7,0,2351,499456,32561152,7040,3258880,886,11288,194728,2048,2048,300928,0,128,0,1024,16,128,0,922,256,128,256,64,256,9,7,0,0,0,0,7,0,0,0,0,0,78,16,0.125,1,0.25,0.459173,0.987903,0.558468,0.61996,0.197397,0.145835,2.69231,0.0345168,51.4103,0.659106,synthetic,value
LOCI-Full,loci,50000,500,1048576,1024,128,1024,16,64,90,25,skew,skew_hotspot_drift_mix,full,mock,0,0.8,-1,288.163,1.6095,2.96539,2.96539,0.00515727,2.95014,16.4711,10,1,0,1,8,0,8,18,79,49996,11719168,39876,632,347280,8.709,10365696,161792,20224,647168,5423136,0.48443,390,110,10,8,0,2351,499456,32561152,7040,3683968,886,11680,194728,2048,2048,300928,0,128,0,1024,16,128,64,922,256,128,256,64,256,10,8,0,1,1,0,7,1,0,0,0,0,79,16,0.125,1,0.25,0.455357,0.988095,0.564484,0.611607,0.20584,0.121651,2.89873,0.0366928,51.2025,0.648133,synthetic,value
PGM-Learned-GlobalPad,pgm,50000,500,1048576,1024,128,1024,16,64,90,25,skew,skew_hotspot_drift_mix,globalpad,mock,0,0.8,-1,17.2437,4.5714,0.01683,0.01683,0.0148,0.00118,0.1298,1,1,0,1,0,0,0,0,49,49996,1728512,0,0,0,0,0,0,0,0,0,0,390,110,1,0,0,1661,2465190,184879680,7040,24576,890,18,2250921,6321,6321,212608,0,128,0,1152,6321,128,64,0,0,0,0,64,16384,1,0,0,1,1,0,0,0,0,49,49,0,49,10,0.7,1,0.1,0.912821,0.994872,0.526923,0.487179,0.0956151,-0.115429,1.4898,0.030404,37,0.755102,synthetic,value
